Flora e Funga do Brasil ID,Família,Nome Científico,Categoria de Risco,Ano de Avaliação,Houve Reavaliação,Ficha de Avaliação
10002,Meliaceae,Trichilia clausseni C.DC.,LC,2020,Não,https://dados.cncflora.jbrj.gov.br/ficha/10002
10001,Meliaceae,Trichilia catigua A.Juss.,LC,2020,Não,https://dados.cncflora.jbrj.gov.br/ficha/10001
10005,Meliaceae,Trichilia florbranca T.D.Penn.,CR,2021,Sim,https://dados.cncflora.jbrj.gov.br/ficha/10005
10004,Meliaceae,Trichilia emarginata (Turcz.) C.DC.,LC,2021,Sim,https://dados.cncflora.jbrj.gov.br/ficha/10004
10008,Meliaceae,Trichilia magnifoliola T.D.Penn.,VU,2021,Sim,https://dados.cncflora.jbrj.gov.br/ficha/10008
10007,Meliaceae,Trichilia lepidota Mart.,LC,2012,Não,https://dados.cncflora.jbrj.gov.br/ficha/10007
10010,Meliaceae,Trichilia pallens C.DC.,LC,2023,Sim,https://dados.cncflora.jbrj.gov.br/ficha/10010
10013,Meliaceae,Trichilia pseudostipularis (A.Juss.) C.DC.,LC,2022,Sim,https://dados.cncflora.jbrj.gov.br/ficha/10013
10015,Meliaceae,Trichilia ramalhoi Rizzini,LC,2021,Sim,https://dados.cncflora.jbrj.gov.br/ficha/10015
10017,Meliaceae,Trichilia tetrapetala C.DC.,LC,2021,Sim,https://dados.cncflora.jbrj.gov.br/ficha/10017
10027,Menispermaceae,Chondrodendron platiphyllum (A.St.-Hil.) Miers,DD,2011,Não,https://dados.cncflora.jbrj.gov.br/ficha/10027
10016,Meliaceae,Trichilia silvatica C.DC.,LC,2022,Sim,https://dados.cncflora.jbrj.gov.br/ficha/10016
10037,Menispermaceae,Disciphania hernandia (Vell.) Barneby,DD,2011,Não,https://dados.cncflora.jbrj.gov.br/ficha/10037
10006,Meliaceae,Trichilia hirta L.,LC,2012,Não,https://dados.cncflora.jbrj.gov.br/ficha/10006
10039,Menispermaceae,Disciphania sagittaria Barneby,EN,2017,Não,https://dados.cncflora.jbrj.gov.br/ficha/10039
10049,Menispermaceae,Sciadotenia acutifolia Krukoff & Barneby,DD,2011,Não,https://dados.cncflora.jbrj.gov.br/ficha/10049
10052,Menispermaceae,Ungulipetalum filipendulum (Mart.) Moldenke,DD,2011,Não,https://dados.cncflora.jbrj.gov.br/ficha/10052
10045,Menispermaceae,Odontocarya vitis (Vell.) J.M.A.Braga,LC,2011,Não,https://dados.cncflora.jbrj.gov.br/ficha/10045
10056,Molluginaceae,Glinus radiatus (Ruiz & Pav.) Rohrb.,LC,2012,Não,https://dados.cncflora.jbrj.gov.br/ficha/10056
10060,Monimiaceae,Grazielanthus arkeocarpus Peixoto & Per.-Moura,CR,2021,Sim,https://dados.cncflora.jbrj.gov.br/ficha/10060
10065,Monimiaceae,Macropeplus friburgensis (Perkins) I.Santos & Peixoto,EN,2021,Sim,https://dados.cncflora.jbrj.gov.br/ficha/10065
10031,Menispermaceae,Cissampelos pareira L.,LC,2011,Não,https://dados.cncflora.jbrj.gov.br/ficha/10031
10067,Monimiaceae,Macropeplus schwackeanus (Perkins) I.Santos & Peixoto,VU,2021,Sim,https://dados.cncflora.jbrj.gov.br/ficha/10067
10064,Monimiaceae,Macropeplus dentatus (Perkins) I.Santos & Peixoto,NT,2020,Não,https://dados.cncflora.jbrj.gov.br/ficha/10064
10071,Monimiaceae,Mollinedia acutissima Perkins,NT,2021,Sim,https://dados.cncflora.jbrj.gov.br/ficha/10071
10069,Monimiaceae,Macrotorus utriculatus (Mart.) Perkins,LC,2021,Sim,https://dados.cncflora.jbrj.gov.br/ficha/10069
10074,Monimiaceae,Mollinedia boracensis Peixoto,NT,2021,Sim,https://dados.cncflora.jbrj.gov.br/ficha/10074
10082,Monimiaceae,Mollinedia engleriana Perkins,LC,2021,Sim,https://dados.cncflora.jbrj.gov.br/ficha/10082
10072,Monimiaceae,Mollinedia argyrogyna Perkins,LC,2021,Sim,https://dados.cncflora.jbrj.gov.br/ficha/10072
10086,Monimiaceae,Mollinedia glaziovii Perkins,EN,2020,Não,https://dados.cncflora.jbrj.gov.br/ficha/10086
10084,Monimiaceae,Mollinedia gilgiana Perkins,LC,2021,Sim,https://dados.cncflora.jbrj.gov.br/ficha/10084
100876,Fabaceae,Bauhinia albicans Vogel,EN,2017,Não,https://dados.cncflora.jbrj.gov.br/ficha/100876
10085,Monimiaceae,Mollinedia glabra (Spreng.) Perkins,LC,2021,Sim,https://dados.cncflora.jbrj.gov.br/ficha/10085
100878,Fabaceae,Bauhinia ovata (Bong.) Vogel,LC,2020,Não,https://dados.cncflora.jbrj.gov.br/ficha/100878
100875,Fabaceae,Bauhinia affinis Vogel,LC,2022,Não,https://dados.cncflora.jbrj.gov.br/ficha/100875
100877,Fabaceae,Bauhinia fusconervis (Bong.) Steud.,LC,2022,Não,https://dados.cncflora.jbrj.gov.br/ficha/100877
100882,Fabaceae,Chamaecrista atroglandulosa (Taub. ex Harms) H.S.Irwin & Barneby,EN,2012,Não,https://dados.cncflora.jbrj.gov.br/ficha/100882
100885,Fabaceae,Gleditsia amorphoides (Griseb.) Taub.,VU,2021,Sim,https://dados.cncflora.jbrj.gov.br/ficha/100885
10089,Monimiaceae,Mollinedia howeana Perkins,EN,2020,Não,https://dados.cncflora.jbrj.gov.br/ficha/10089
100888,Fabaceae,Martiodendron mediterraneum (Mart. ex Benth.) R.C.Koeppen,LC,2018,Não,https://dados.cncflora.jbrj.gov.br/ficha/100888
100891,Fabaceae,Moldenhawera luschnathiana Yakovlev,VU,2018,Não,https://dados.cncflora.jbrj.gov.br/ficha/100891
