Categoria,Grupo,Família ,Espécie ,Nome comum ,obs
VU ,Aves,Rhinocryptidae,Merulaxis ater,entufado,
VU ,Mamíferos,Vespertilionidae,Myotis simus,morcego,
VU ,Aves,Thamnophilidae,Biatas nigropectus,papo-branco,faltava gênero no pdf original
CR ,Aves,Accipitridae,Spizaetus ornatus,gavião-de-penacho,
VU ,Aves,Sternidae,Thalasseus maximus,trinta-réis-real,
CR ,Anfíbios,Cycloramphidae,Thoropa saxatilis,rã-das-pedras,
CR ,Mamíferos,Phyllostomidae,Tonatia bidens,morcego,
CR ,Aves,Cracidae,Aburria jacutinga,jacutinga,
EN ,Insetos,Formicidae,Acanthostichus flexuosus,desconhecido,
CR ,Aves,Accipitridae,Accipiter poliogaster,tauató-pintado,
VU ,Aves,Accipitridae,Accipiter superciliosus,gavião-miudinho,
VU ,Peixes Cartilaginosos Marinhos e Estuarinos,Alopiidae,Alopias superciliosus,tubarão-raposa; raposa; rabudo; rabo-de-macaco; zorro-olho-grande; tubarão-raposo; tubarão-raposa-de-olho-grande,
CR ,Mamíferos,Atelidae,Alouatta caraya,bugio,
VU ,Mamíferos,Atelidae,Alouatta clamitans,bugio,
CR ,Aves,Psittacidae,Amazona brasiliensis,papagaio-de-cara-roxa,
EN ,Aves,Psittacidae,Amazona pretrei,papagaio-charão,
EN ,Aves,Psittacidae,Amazona vinacea,papagaio-de-peito-roxo,
EN ,Aves,Motacilidae,Anthus nattereri,caminheiro-grande,
VU ,Anfíbios,Hylidae,Aplastodiscus ehrhardti,perereca-flautinha-de-Ehrhardt,
VU ,Anfíbios,Hylidae,Aplastodiscus cochranae,perereca-marrom,
VU ,Aves,Strigidae,Asio flammeus,mocho-dos-banhados,
VU ,Equinodermos,Asterinidae,Asterina stellifera,estrela-do-mar,
VU ,Equinodermos,Astropectinidae,Astropecten brasiliensis,estrela-do-mar,
VU ,Equinodermos,Astropectinidae,Astropecten marginatus,estrela-do-mar,
VU ,Peixes Ósseos de Águas Continentais,Characidae,Astyanax gymnogenys,lambari,
VU ,Peixes Ósseos de Águas Continentais,Characidae,Astyanax gymnogenys,lambari,
CR ,Peixes Ósseos de Águas Continentais,Rivulidae,Austrolebias carvalhoi,Não se conhece,
EN ,Insetos,Formicidae,Basiceros acutipilis,desconhecido,
EN ,Insetos,Formicidae,Basiceros plaumanni,desconhecido,
VU ,Insetos,Nymphalidae,Blepolenis catharinae,borboleta,
EN ,Peixes Ósseos de Águas Continentais,Characidae,Brycon orbignyanus,piracanjuba; bracanjuba; bracanjuva,
VU ,Aves,Accipitridae,Buteo melanoleucus,águia-chilena,
EN ,Répteis,Dipsadidae,Caaeteboia amarali,cobrinha-marrom-do-litoral,
CR ,Peixes Ósseos de Águas Continentais,Rivulidae,Campellolebias brucei,Não se conhece,
CR ,Peixes Ósseos de Águas Continentais,Rivulidae,Campellolebias chrysolineatus,Não se conhece,
VU ,Peixes Cartilaginosos Marinhos e Estuarinos,Carcharhinidae,Carcharhimus longimanus,tubarão-galha-branca,
CR ,Peixes Cartilaginosos Marinhos e Estuarinos,Odontaspididae,Carcharias taurus,mangona; caçoa,
VU ,Crustáceos,Gecarcinidae,Cardisoma guanhumi,guaiamum; goiamum,
EN ,Répteis,Cheloniidae,Caretta caretta,tartaruga-cabeçuda,
EN ,Aves,Cotingidae,Carpornis melanocephala,sabiá-pimenta,
CR ,Mamíferos,Caviidae,Cavia intermedia,preá,
EN ,Anfíbios,Ceratophrydae,Ceratophrys aurita,sapo-intanha,
EN ,Cnidarios,Cerianthidae,Ceriantheomorphe brasiliensis,cerianto ou anêmona de tubo,
VU ,Répteis,Cheloniidae,Chelonia mydas,tartaruga-verde,
VU ,Mamíferos,Didelphidae,Chironectes minimus,"cuíca-d'água, gambá-d'água",
VU ,Aves,Alcedinidae,Chloroceryle aenea,martinho,
EN ,Aves,Alcedinidae,Chloroceryle inda,martim-pescador-da-mata,
CR ,Mamíferos,Canidae,Chrysocyon brachyurus,"lobo-guará, lobo-de-crina",
VU ,Aves,Furnariidae,Cinclodes pabsti,pedreiro,
EN ,Aves,Thraupidae,Cissopis leverianus,tietinga,
CR ,Aves,Trogloditydae,Cistothorus platensis,corruíra-do-campo,
CR ,Aves,Columbidae,Claravis godefrida,pararu-espelho,
EN ,Répteis,Dipsadidae,Clelia plumbea,muçurana-grande,
EN ,Répteis,Teiidae,Cnemidophorus lacertoides,lagartinho-listrado-da-restinga,
EN ,Répteis,Teiidae,Cnemidophorus vacariensis,lagartinho-pintado-do-campo,
VU ,Aves,Thraupidae,Conirostrum bicolor,figuinha-do-mangue,
EN ,Aves,Tyrannidae,Corythopis delalandi,estalador,
VU ,Equinodermos,Asteriidae,Coscinasterias tenuispina,estrela-do-mar,
VU ,Moluscos Marinhos,Ostreidae,Crassostrea brasiliana,ostra-de-mergulho,
VU ,Peixes Ósseos de Águas Continentais,Cichlidae,Crenicichla empheres,,
VU ,Peixes Ósseos de Águas Continentais,Cichlidae,Crenicichla empheres,,
CR ,Anfíbios,Hylodidae,Crossodactylus schmidti,rãzinha-de-riacho-de-Schmidt,
VU ,Aves,Cuculidae,Crotophaga majo,r anu-coroca,
EN ,Aves,Tinamidae,Crypturellus noctivagus,jaó-do-sul,
EN ,Mamíferos,Ctenomyidae,Ctenomys minutus,tuco-tuco,
CR ,Aves,Tyrannidae,Culicivora caudacuta,papa-moscas-do-campo,
VU ,Mamíferos,Cuniculidae,Cuniculus paca,paca,
EN ,Insetos,Lycaenidae,Cyanophrys bertha,borboleta,
CR ,Anfíbios,Cycloramphidae,Cycloramphusvalae,rã-achatada-de-cachoeira,
CR ,Répteis,Dermochelyidae,Dermochelys coriacea,tartaruga-de-couro,
CR ,Cnidarios,Caryophylliidae,Desmophyllum dianthus,coral,
VU ,Peixes Ósseos de Águas Continentais,Characidae,Deuterodon longirostris,lambari,
VU ,Peixes Ósseos de Águas Continentais,Characidae,Deuterodon longirostris,lambari,
VU ,Peixes Ósseos de Águas Continentais,Characidae,Deuterodon rosae,lambari,
VU ,Peixes Ósseos de Águas Continentais,Characidae,Deuterodon rosae,lambari,
CR ,Aves,Diomedeidae,Diomedea dabbenena,albatroz-de-tristão,
VU ,Aves,Diomedeidae,Diomedea epomophora,albatroz-real,
EN ,Aves,Diomedeidae,Diomedea sanfordi,albatroz-real-do-norte,
VU ,Aves,Diomedeidae,Diomedea exulans,albatroz-gigante,
EN ,Polychaeta,Onuphiidae,Diopatra cuprea,,
EN ,Mamíferos,Phyllostomidae,Diphylla ecaudata,morcego vampiro,
CR ,Insetos,Nymphalidae,Doxocopa laure laurona,borboleta,
CR ,Insetos,Hesperiidae,Drephalys miersi,borboleta,
CR ,Insetos,Hesperiidae,Drephalys mourei,borboleta,
EN ,Aves,Thamnophilidae,Drymophila squamata,pintadinho,
VU ,Aves,Picidae,Dryocopus galeatus,pica-pau-de-cara-canela,
VU ,Equinodermos,Echinasteridae,Echinaster (Othilia) brasiliensis,estrela-do-mar vermelha,
EN ,Aves,Caprimulgidae,Eleothreptus anomalus,curiango-do-banhado,
EN ,Peixes Ósseos Marinhos e Estuarinos,Epinephelidae,Epinephelus itajara,mero verdadeiro,
CR ,Répteis,Cheloniidae,Eretmochelys imbricata,tartaruga-de-pente,
